Assembly Accession,Organism Name,Assembly Name,Assembly Stats Number of Contigs,Organism Taxonomic ID,ANI Check status,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Annotation Release Date,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Contig N50,Assembly Stats Scaffold N50,Assembly Stats Number of Scaffolds,Assembly Stats GC Percent,Annotation BUSCO Complete,Annotation BUSCO Single Copy,Annotation BUSCO Duplicated,Annotation BUSCO Fragmented,Annotation BUSCO Missing,Annotation BUSCO Lineage,Assembly Sequencing Tech,Assembly Submitter,Assembly BioProject Accession,Assembly BioSample Accession,Annotation Count Gene Total,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Type Material Display Text,CheckM marker set,CheckM completeness,CheckM contamination
GCA_900002385.2,Plasmodium yoelii,GCA_900002385,14,5861,,,17X,,,,,Annotation submitted by WTSI,04/06/2019,23043114,14,Complete Genome,04/06/2019,,2046250,2046250,14,21.5,,,,,,,SLX,WTSI,PRJEB5706,SAMEA1032065,6267,6039,58,,,,
GCA_900681995.1,Plasmodium vinckei vinckei,PVVCY_v1,14,54757,,,,,,,,Annotation submitted by KAUST,30/01/2019,18338688,14,Chromosome,30/01/2019,,1692345,1692345,14,23,,,,,,,SMRT sequencing,KAUST,PRJEB19355,SAMEA5241084,5151,5051,19,,,,
GCA_001680005.1,Plasmodium coatneyi,ASM168000v1,15,208452,,,Hackeri,,,,,Annotation submitted by Malaria Host-Pathogen Interaction Center,16/09/2016,27685530,14,Chromosome,06/07/2016,,1997354,1997354,14,39.5,,,,,,,PacBio,Malaria Host-Pathogen Interaction Center,PRJNA315987,SAMN04571750,5575,5516,,,,,
GCA_000002415.2,Plasmodium vivax,ASM241v2,2763,5855,,,,,,Salvador I,,Annotation submitted by TIGR,06/05/2009,27007701,14,Chromosome,06/05/2009,AAKM01,1165049,1678596,2747,42.5,,,,,,,,TIGR,PRJNA150,SAMN02953638,5507,5389,42,,,,
GCA_900002375.2,Plasmodium berghei ANKA,GCA_900002375,19,5823,,,ANKA,,,,,Annotation submitted by WTSI,14/06/2019,18740246,14,Chromosome,14/06/2019,CABFNT01,1640193,1640193,19,22,,,,,,,SLX,WTSI,PRJEB5710,SAMEA736069,5264,4951,131,,,,
GCA_000006355.3,Plasmodium knowlesi strain H,GCA_000006355.2,249,5851,,,H,,,,,Annotation submitted by Wellcome Trust Sanger Institute,08/01/2021,24359384,14,Chromosome,24/02/2020,CADCXE01,807908,2162603,162,38.5,,,,,,,454;SLX,Wellcome Trust Sanger Institute,PRJEA28803,SAMEA2272753,5501,5326,12,,,,
GCA_001601855.1,Plasmodium reichenowi,ASM160185v1,3881,5854,,,SY57,,,,,Annotation submitted by UPENNBL,08/04/2016,20477502,14,Chromosome,08/04/2016,LVLA01,9004,1412118,776,18.5,,,,,,,Illumina MiSeq,UPENNBL,PRJNA295394,SAMN04053640,5256,5041,74,,,,
GCA_023973825.1,Plasmodium brasilianum,ASM2397382v1,51,5824,,,Bolivian I,,,,,Annotation submitted by Centers for Disease Control and Prevention,29/06/2022,31374054,14,Chromosome,29/06/2022,JAMQJU01,1736770,2339971,43,25,,,,,,,Illumina MiSeq; PacBio RSII,Centers for Disease Control and Prevention,PRJNA810024,SAMN26224112,5911,5767,144,,,,
GCA_000321355.1,Plasmodium cynomolgi strain B,PcynB_1.0,3341,1120755,,,B,,,,,Annotation submitted by Osaka University,27/10/2015,26181343,14,Chromosome,07/06/2012,BAEJ01,18524,1717921,1663,40.5,,,,,,,454 GS 20; 454 Titanium; 454 GS FLX; Illumina Genome Analyzer II; ABI 3730,Osaka University,PRJDA49901,SAMD00016567,5776,5716,,,,,
GCA_900005765.1,Plasmodium relictum,PRELSG,722,85471,,,SGS1,,,,,Annotation submitted by WTSI,17/11/2016,22571969,14,Chromosome,17/11/2016,CVMU01,583861,1287098,512,18.5,,,,,,,Illumina,WTSI,PRJEB9074,SAMEA2385706,5326,5137,40,,,,
